local_time (IST),state,city,station_name,id,latitude,longitude,AT (degC),RH (%),PM2_5 (ug/m3),PM10 (ug/m3),CO2 (PPM)
29/03/2025 00:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,29.06,30.83,37.52,129.78,421.62
29/03/2025 00:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,28.89,32.54,39.7,110.42,404.97
29/03/2025 01:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,28.07,31.48,31.86,105.63,405.0
29/03/2025 01:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,27.8,32.93,33.19,94.23,405.0
29/03/2025 02:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,26.75,31.59,34.76,72.25,404.6
29/03/2025 02:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,26.63,33.74,34.27,89.67,405.05
29/03/2025 03:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,24.81,34.0,33.29,81.09,404.78
29/03/2025 03:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,25.52,34.19,29.31,75.02,404.88
29/03/2025 04:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,23.87,36.52,27.89,82.99,418.89
29/03/2025 04:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,24.67,35.79,29.23,71.64,426.67
29/03/2025 05:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,23.13,37.49,31.79,89.32,405.0
29/03/2025 05:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,23.96,36.53,30.74,78.43,404.99
29/03/2025 06:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,22.44,38.58,28.6,94.99,404.85
29/03/2025 06:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,23.41,38.0,31.62,82.62,404.17
29/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,23.28,37.73,30.98,112.68,404.38
29/03/2025 07:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,23.81,38.04,32.54,112.48,404.64
29/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,25.99,31.1,28.74,114.29,404.1
29/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,24.94,34.75,33.83,122.66,404.24
29/03/2025 08:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,28.58,31.56,40.23,129.07,594.89
29/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,26.83,30.23,28.67,132.54,404.05
29/03/2025 09:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,29.27,30.1,29.85,131.93,628.0
29/03/2025 10:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,29.32,26.61,32.7,117.33,424.75
29/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,6.39,6.78,28.6,515.0
29/03/2025 11:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,31.46,22.3,26.21,108.53,403.97
29/03/2025 12:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,33.53,16.69,20.59,94.94,403.86
29/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,3.2,4.62,24.26,515.0
29/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,39.39,8.7,24.79,64.87,453.38
29/03/2025 13:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,35.66,12.02,17.66,91.62,403.59
29/03/2025 14:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,2.61,4.45,18.49,515.0
29/03/2025 14:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,41.1,7.51,18.37,54.41,402.0
29/03/2025 14:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,37.16,11.2,17.09,79.18,403.75
29/03/2025 15:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,2.6,3.83,16.4,
29/03/2025 15:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,41.58,7.86,15.81,52.91,402.0
29/03/2025 15:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,37.89,10.8,14.78,67.27,403.86
29/03/2025 16:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,36.25,268.45,388.77,5000.0
29/03/2025 16:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,39.83,8.53,17.42,81.07,402.0
29/03/2025 16:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,37.64,11.31,15.0,45.55,413.73
29/03/2025 16:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,34.49,16.92,16.4,81.2,438.63
29/03/2025 17:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,35.38,13.07,14.98,85.66,404.02
29/03/2025 17:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,80.42,588.24,842.51,5000.0
29/03/2025 17:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,36.44,10.65,15.96,86.65,402.58
